Province/State,Country/Region,Lat,Long,January/20,February/20,March/20,April/20,May/20,June/20,July/20,August/20,September/20,October/20,November/20,December/20,January/21,February/21,March/21,April/21,May/21,June/21,July/21,August/21,September/21,October/21,November/21,December/21,January/22,February/22,March/22,April/22,May/22,June/22,July/22,August/22,September/22,October/22,November/22,December/22,January/23,February/23,3
Zhejiang,China,29.1832,120.0934,1809,12018,38092,37985,39308,38055,39360,39515,38411,39773,38732,40247,40648,36935,40993,39861,41962,41257,43087,43855,43250,45235,44968,55571,65113,62972,76955,86967,97034,94364,98625,102634,102011,108546,112828,178437,332000,331744,
,Colombia,4.5709,-74.2973,0,0,6190,101704,492214,1745908,5680255,14415644,21951355,29377177,35993382,45578807,58374546,61356188,71861747,78567887,96787228,114783882,141879726,150806745,148051211,154383574,151062885,158224934,171423690,168322711,188406933,182676599,189007902,183848377,192804131,194904199,189149424,195566131,189348467,195981434,196710637,177969481,
,Comoros,-11.6455,43.3333,0,0,0,1,1116,5961,10233,12580,13863,15608,17436,20497,51485,92325,112884,113736,119742,117038,123897,125299,123082,129844,131824,153013,235889,223475,250041,242990,251444,243928,254911,259887,253902,264775,266706,278284,278631,251853,
,Congo (Brazzaville),-0.228,15.8277,0,0,97,3419,12105,25460,73328,116513,146292,159997,165519,193968,232416,234475,290998,304069,351410,365677,400907,414574,414473,486646,551629,598694,701964,667889,745474,722338,746449,723791,758917,769327,745110,769947,752879,786625,786625,703582,
,Congo (Kinshasa),-4.0383,21.7587,0,0,642,8639,48228,152518,253461,298422,312145,340349,357658,465473,633392,682090,841033,867489,950208,1086248,1412151,1641310,1685143,1775480,1734692,1997124,2542822,2401405,2678306,2607115,2710970,2701545,2844360,2866274,2783334,2882288,2807290,2937166,2954354,2677001,
,Costa Rica,9.7489,-83.7534,0,0,2987,17866,26697,58319,309536,890542,1771225,2901099,3734891,4796194,5681017,5594208,6522718,6872891,8848736,10358999,12039607,13432741,14994975,17037685,16932298,17622785,19259333,21372056,25599802,25348793,27022776,27148020,29212655,32963276,33124016,34948722,34233936,35776125,36413381,33399752,
,Cote d'Ivoire,7.54,-5.5471,0,0,1051,20934,63068,176994,412566,528765,571474,627301,629774,675687,777836,865141,1189745,1360270,1446952,1434603,1522898,1632109,1752147,1888807,1845815,1952422,2422773,2272772,2530288,2455367,2543171,2479341,2618183,2670880,2609712,2714156,2635652,2725229,2726817,2466253,
,Croatia,45.1,15.2,0,18,6404,49646,68134,70331,124811,217353,415353,831572,2599232,5539120,6921173,6657593,7881286,9063636,10797806,10757171,11206532,11404200,11648531,13340229,16261639,20600943,25433780,28430744,33410464,33358980,35061827,34239354,36174544,37243296,36693020,38471480,37515442,39020482,39255233,35513022,
,Cuba,21.521757,-77.781167,0,0,1020,25438,56950,67429,75857,102621,145208,192396,228288,305830,554408,1088096,1949383,2738557,3862052,4888291,8526080,16366844,23157467,28750628,28759732,29883178,31024418,29692418,33458990,32951371,34239019,33170562,34312985,34394960,33328616,34448744,33339901,34461343,34480100,31150743,
,Cyprus,35.1264,33.4299,0,0,1826,19243,28113,29312,31890,41002,47076,79706,216721,492240,878272,923859,1260010,1665592,2210458,2237398,2786245,3417317,3545967,3784961,3853409,4492797,6835614,8206832,11425717,13829062,15056488,14895450,16725083,17705347,17441764,18388790,18211955,19337406,19763370,18087733,
,Czechia,49.8175,15.473,0,0,25984,184001,262979,307889,430742,628547,1304611,5443207,13617115,18743896,26959120,30777715,43611257,47718289,51169649,49954479,51784975,51968562,50545691,53159199,57899447,72970861,83404550,99562002,121870148,123918968,129545650,125718554,131122358,133703560,131762545,139121701,135832283,141692349,142138615,128756882,
Faroe Islands,Denmark,61.8926,-6.9118,0,0,1826,5518,5797,5610,6036,10684,12949,14969,14938,16739,19978,18392,20464,19859,21020,22689,27740,30762,31824,44973,88831,142546,349366,800498,1074123,1039740,1074398,1039740,1074398,1074398,1039740,1074398,1039740,1074398,1074398,970424,
Greenland,Denmark,71.7069,-42.6043,0,0,84,327,354,390,408,434,420,492,529,657,905,840,958,930,1019,1386,2273,7539,13431,20942,32327,60996,224983,318914,368543,359130,371101,359130,371101,371101,359130,371101,359130,371101,371101,335188,
,Denmark,56.2639,9.5018,0,5,30812,197702,332671,367368,408248,479671,644815,1100781,1901383,3750144,5764387,5735358,6859466,7228946,8258194,8689435,9436465,10283943,10595666,11467658,12973353,18863612,37161764,65635297,91674184,92813024,96971813,94511405,99310290,100924997,98550179,102877222,100318072,104510818,105279769,95247388,
,Diamond Princess,0,0,0,6795,21968,21360,22072,21360,22072,22072,21360,22072,21360,22072,22072,19936,22072,21360,22072,21360,22072,22072,21360,22072,21360,22072,22072,19936,22072,21360,22072,21360,22072,22072,21360,22072,21360,22072,22072,19936,
,Djibouti,11.8251,42.5903,0,0,125,16283,54254,132173,153695,165639,161960,169641,169185,178378,182684,167737,203948,300878,353511,347336,360339,362283,361063,412260,404901,419765,456974,434784,482600,467995,485089,470575,486390,486390,470700,486390,470700,486390,486390,439320,
,Dominica,15.415,-61.371,0,0,79,460,496,538,558,576,718,1061,2033,2696,3325,3612,4761,5029,5575,5699,6267,25752,77990,130760,161579,196448,245822,291812,358306,359204,405516,438897,460412,460412,449140,488495,472800,488560,488560,441280,
,Dominican Republic,18.7357,-70.1627,0,0,6140,115932,376401,721962,1543434,2630788,3143556,3727191,4036491,4864830,5941766,6413645,7652946,7794798,8615151,9329866,10403589,10736806,10631489,11474618,11894089,12756512,15356653,15908603,17881349,17361154,18008158,17832708,19229134,19676275,19265248,20047711,19445539,20261745,20440261,18490905,
,Ecuador,-1.8312,-78.1834,0,0,16469,321161,1029314,1429745,2217004,3121790,3678159,4714534,5411330,6306084,7125483,7472445,9480656,10654344,12663896,13253196,14679591,15358152,15186087,15921775,15671432,16621960,19476807,22203194,26285849,25962655,27059302,26771127,28938676,30455494,30000358,31211513,30284513,31731123,32397849,29523225,
,Egypt,26.820553,30.802498,0,10,7140,83386,403993,1406847,2615575,2991066,3038840,3263459,3339298,3859859,4792291,4878915,5961213,6435218,7615367,8218377,8782672,8859474,8865112,9850182,10358211,11551705,12470969,12807088,15382576,15363587,15984995,15469350,15984995,15984995,15469350,15984995,15469350,15984995,15984995,14439013,
,El Salvador,13.7942,-88.8965,0,0,156,5333,41262,122784,347650,692113,819156,969372,1095940,1318177,1573181,1619262,1939285,2010965,2211747,2284385,2563448,2816644,2990491,3393612,3514812,3749302,3874046,3981785,4916747,4857338,5028755,4972826,5580042,5937292,6053550,6255335,6053550,6255335,6255335,5649980,
,Equatorial Guinea,1.6508,10.2679,0,0,130,2867,21842,46572,95881,150812,149975,157079,153445,161321,166183,159963,203858,219014,247897,259971,273465,280165,325218,399659,404797,422216,466494,444084,493663,478133,493241,478688,511333,522916,509536,529818,515397,532735,532774,481971,
,Eritrea,15.1794,39.7823,0,0,65,1027,1209,3083,7490,9178,10664,13346,15545,24769,54320,70980,95058,104836,119530,152367,196912,204740,200062,209823,212733,238762,274280,270544,301309,291952,302142,293307,306370,314090,304900,315628,305670,315859,315859,285292,
,Estonia,58.5953,25.0136,0,3,7350,41075,55005,58725,62542,68481,83987,125799,241995,612913,1127645,1495578,2713051,3472209,3927342,3916223,4089066,4260117,4455142,5349132,6358744,7160912,8533721,11936810,16547109,16983327,17803399,17349814,18096382,18421985,17990234,18746922,18243954,18927077,19001611,17203816,
,Eswatini,-26.5225,31.4659,0,0,75,843,6137,15782,50503,115702,153585,177725,183907,227464,394910,462296,534337,541073,574123,563997,660062,1121413,1351429,1435302,1394616,1757591,2096847,1927131,2154046,2103752,2223031,2187439,2269962,2273203,2201278,2277142,2210482,2292329,2296375,2076629,
,Ethiopia,9.145,40.4897,0,0,203,2558,12773,106607,300942,998557,1964723,2703736,3089373,3653211,4052409,4140296,5589105,7079762,8236693,8230757,8608593,9043198,9843982,11085834,11067787,11853762,14021651,13090994,14548200,14106015,14607728,14440379,15217830,15276907,14802016,15307136,14827364,15377491,15469974,13994326,
,Fiji,-17.7134,178.065,0,0,47,464,558,540,765,856,944,1006,1065,1405,1659,1577,2031,2357,6285,52915,489468,1248799,1480193,1602666,1571501,1634146,1831407,1777755,1989555,1935201,2008859,1958257,2067330,2106737,2046395,2115779,2049201,2125880,2132524,1928244,
,Finland,61.92411,25.748151,3,36,16931,111197,198200,214188,227978,242958,270515,417387,610476,987620,1260599,1440409,2129465,2502481,2798381,2826645,3114035,3671099,4061342,4682518,5185980,6755812,12124570,16184544,23747986,28555744,33071334,33588864,36061667,38279085,38306530,40993308,41283434,44143320,44918708,40903099,
French Guiana,France,3.9339,-53.1258,0,0,411,2687,7327,52278,194587,264987,287421,317254,326194,373142,454898,459105,519450,538300,668397,774214,889731,995686,1127211,1332023,1360871,1445969,1989749,2156307,2423550,2391933,2531631,2534863,2776245,2886810,2815253,2916134,2837516,3007437,3036081,2745122,
French Polynesia,France,-17.6797,149.4068,0,0,328,1553,1852,1806,1922,6494,33504,129060,353402,492676,544173,511697,574753,560645,583305,568347,595477,961682,1205340,1382212,1367578,1436785,1461038,1590692,2185160,2177086,2257793,2193501,2297855,2359617,2296620,2377900,2304422,2407159,2416573,2182796,
Guadeloupe,France,16.265,-61.551,0,0,1016,4293,4834,5121,6115,17841,90910,211083,243200,263635,274628,262819,332292,376952,485626,516924,554359,945868,1505671,1668185,1642964,1716149,2155934,3176020,3997771,4282149,4766212,4918893,5455412,5837088,5763126,6015398,5903086,6149258,6221794,5646888,
Martinique,France,14.6415,-61.0242,0,0,946,4772,5897,6509,7991,11984,31577,70030,140085,175314,193310,183298,219641,273984,357051,363519,433603,917586,1185092,1310410,1323951,1447035,2006703,2899462,4066991,4451848,4884818,5391907,6344121,6597476,6541158,6896406,6715406,6964952,7048885,6404537,
Mayotte,France,-12.8275,45.166244,0,0,517,7748,37920,68951,86029,97525,103650,126519,146654,171848,209609,367351,579304,591657,623943,581249,602870,608068,601967,633240,623606,657641,975743,1023734,1139430,1109881,1160711,1132897,1186692,1232491,1204859,1249020,1215855,1295727,1301969,1176094,
New Caledonia,France,-20.904305,165.618042,0,0,134,537,562,622,668,706,779,839,906,1129,1310,1461,2914,3671,3874,3851,4033,4169,82857,300541,349495,389268,457943,1081323,1831451,1815988,1902614,1890421,2077498,2248777,2225830,2304823,2245413,2420809,2474676,2239922,
Reunion,France,-21.1151,55.5364,0,0,1594,11520,13733,14903,18744,30136,87562,148661,209923,264628,293256,310426,440568,549546,704557,835336,1031969,1374245,1563239,1676475,1700188,2079878,3610744,7275921,9809930,10795524,12599494,12579832,13247829,13922663,14156243,14792805,14368413,15005745,15226358,13840344,
Saint Barthelemy,France,17.9,-62.8333,0,0,79,180,186,180,194,411,796,2151,3254,5291,8176,12788,22363,28042,31084,30994,32838,45787,48350,51228,49870,52661,86903,101659,117990,130804,142592,139500,150891,160464,157978,164339,159922,166468,167790,152058,
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0,26,31,30,83,138,323,496,480,463,542,672,744,734,775,765,822,912,929,988,1209,2913,13881,28678,47186,74828,84805,82897,90956,96784,94802,99903,97084,102705,104922,96656,
St Martin,France,18.0708,-63.0501,0,0,138,984,1205,1245,1414,3520,8865,15042,19406,27135,33601,39485,49761,51085,56594,66098,77228,92442,107974,119736,119401,126211,222879,271543,307814,307277,328241,323791,348883,364860,358378,371850,360956,374718,378440,342902,
Wallis and Futuna,France,-14.2938,-178.1165,0,0,0,0,0,0,0,0,0,13,50,110,131,224,6288,13223,14068,13620,14074,14074,13620,14074,13620,14074,14074,12712,14074,13620,14074,13620,16323,23591,22830,71363,102450,105865,106213,95956,
,France,46.2276,2.2137,30,287,402771,3422005,5528636,5770856,6322451,7716450,12954821,27752497,58289600,74903759,89560072,96776397,127868432,154169338,175718916,170291843,180203199,197090795,202756466,214261882,215033739,258822406,436274525,589503093,721161095,800783158,879588984,876968610,986562488,1032235034,1017032275,1091420381,1087283720,1167934074,1190624154,1078854325,
,Gabon,-0.8037,11.6094,0,0,86,3106,40885,120239,195607,252682,259821,275060,272546,290679,310352,356809,529781,641075,737667,743205,782273,793716,826126,1031175,1101317,1182150,1391889,1327161,1474636,1427772,1476010,1432263,1494895,1506291,1460160,1512998,1468731,1518183,1518382,1371468,
,Gambia,13.4432,-15.3101,0,0,35,233,680,1016,4434,56688,101729,112779,111147,117237,121312,123614,156651,170688,184422,180781,208857,279627,295434,308368,299453,311570,346344,333393,371042,359772,371949,360060,372791,379298,372876,387820,377454,390166,390166,352408,
,Georgia,42.3154,43.3569,0,4,1256,9767,20931,25966,31917,41023,91939,573395,2505524,5970896,7590826,7429803,8552929,8819854,10205280,10669621,12010406,15060119,17588555,20483438,23631879,27824856,31490779,40559524,50715991,49572988,51339975,49760034,51757258,53143222,52740781,55201421,53705279,56047230,56147491,50974934,
,Germany,51.165691,10.451526,18,262,483911,3737253,5348664,5624689,6224385,6958941,7938368,11370428,23795493,43090120,61812530,65370665,80734735,92738909,110749970,111401284,116051010,118897668,122947144,135599876,153477152,204442937,251465037,348435938,550744690,693718823,796147190,812274242,916625228,979051775,978882573,1070261159,1082258994,1144471865,1165981979,1062969723,
,Ghana,7.9465,-1.0232,0,0,1146,24029,164583,370733,826344,1296178,1368073,1465886,1501148,1651837,1813441,2124578,2726591,2746420,2891473,2842549,3063648,3455373,3720117,3997698,3919673,4139518,4729537,4427189,4979413,4832555,5000256,4897824,5179849,5220338,5061955,5275227,5128127,5301904,5303732,4792118,
,Greece,39.0742,21.8243,0,12,12783,63645,86380,95085,121131,222112,424201,802968,2243451,3904326,4585941,4844582,7014206,9230831,11653186,12457292,14077053,16768403,18708564,21556950,25312736,31959592,50856910,61689039,84156710,96337103,105234926,106098897,123834763,142808448,145127959,156291770,158552542,170251353,172003097,155357636,
,Grenada,12.1165,-61.679,0,0,52,429,674,690,715,744,720,802,1051,2429,4240,4144,4696,4694,4980,4830,5024,6796,91507,175952,176051,184191,296611,370857,428716,426626,510137,542526,577128,589724,583678,606565,588346,608843,609948,551040,
,Guatemala,15.7835,-90.2308,0,0,333,7312,67102,329549,1062083,1938713,2495864,3106103,3454791,4047232,4594145,4687392,5723666,6287226,7481843,8247675,10238191,12965133,15579945,18140535,18315374,19312415,20308900,20693762,25062543,25134762,26455938,26367962,30311848,33325546,33412361,35126191,34414699,36603876,37749779,34511669,
,Guinea,9.9456,-9.6966,0,0,104,15955,80843,139077,196485,261346,303547,350904,379110,417156,437663,422601,558415,637554,706438,703407,759869,864320,902759,947284,921555,959147,1084641,1017062,1129465,1095027,1135145,1104086,1156838,1160972,1128468,1176850,1143706,1183541,1184862,1071098,
,Guinea-Bissau,11.8037,-15.1804,0,0,26,1515,26923,44361,58039,65237,68413,74077,72580,75812,77361,82413,107408,110920,116142,114422,126022,160403,180530,189852,189783,200104,217817,219998,250571,245259,255179,249409,260304,262407,263575,273565,265440,274882,277357,250612,
,Guyana,4.860416,-58.93018,0,0,141,1562,3617,5398,9979,24093,61590,112427,144708,185193,213438,229334,289705,349462,471496,558603,661852,736696,861666,1058300,1105302,1199511,1566820,1739118,1957426,1900825,1983394,1985726,2130754,2186516,2136701,2213361,2145163,2226585,2251555,2044827,
,Haiti,18.9712,-72.2852,0,0,81,1261,15126,123311,209881,242437,254840,276326,275045,297597,330933,340473,393780,389313,427185,515823,611301,642255,644284,722309,743152,801525,861712,841832,944704,918802,953561,935937,995337,1022852,1010132,1046875,1015011,1050202,1052991,954999,
,Holy See,41.9029,12.4534,0,0,58,247,367,360,372,372,360,646,810,837,837,756,837,810,837,810,837,837,810,837,810,837,865,812,899,870,899,870,899,899,870,899,870,899,899,812,
,Honduras,15.2,-86.2419,0,0,821,13307,86306,317671,975322,1584516,2074882,2704316,3085315,3569628,4149890,4488251,5569807,5982916,7010833,7496305,8666593,9889456,10639320,11523910,11310359,11738026,11930741,11184610,12929088,12653549,13159746,12779259,13406853,13899008,13666719,14159740,13723945,14311000,14540395,13198391,
,Hungary,47.1625,19.5033,0,0,3512,48858,106717,121673,133397,154696,450339,1426535,4340462,8774928,10794651,10954073,16553070,21975323,24673915,24207963,25071230,25128946,24503571,25969172,29142818,37227269,42237613,47687028,56441915,56352441,59226771,57682967,60240867,62334815,62057988,65752226,64614020,67442444,67889213,61423535,
,Iceland,64.9631,-19.0208,0,2,11298,50142,55864,54362,57048,62238,69104,119128,155412,173260,183571,168952,189143,189420,202534,198540,214629,295617,340516,389856,473329,645066,1466418,2658380,5049097,5515105,5790138,5726990,6172986,6311525,6156362,6386843,6203360,6430607,6461943,5848534,
,India,20.593684,78.96288,2,30,10252,447607,3088494,10951713,32829678,82734792,151735176,228641810,265835139,308005491,326927936,305984490,357487053,447598593,760936972,886909272,962880627,999760992,1000653633,1055797723,1033703398,1076434872,1168520007,1192162187,1332839131,1291386605,1336835898,1298514945,1356350334,1372465208,1335670358,1383471408,1340003729,1384986098,1385152709,1251201142,
,Indonesia,-0.7893,113.9213,0,0,11971,164969,546175,1211857,2544132,4336124,6879525,10928941,14115752,19834279,27904068,34172220,44344084,47761250,54068447,58774875,86065511,118769332,125159430,131209718,127536426,132055272,132752349,137835434,182389033,181069113,187576506,182007743,190280014,194976634,192036618,200234800,197397598,207786965,208503439,188531228,
,Iran,32.427908,53.688046,0,1615,525947,2255837,3727988,5749446,8279348,10622742,12365981,16323626,23319184,34734095,41044213,42690161,54610163,65501367,84973293,91721205,108611906,138294286,160347125,178912248,181216604,191035846,193421199,190385654,220835641,215997472,224065933,217035208,225983249,231855446,226233725,234174239,226768344,234372140,234445915,211850006,
,Iraq,33.223191,43.679291,0,34,6335,42494,112314,731904,2680051,5516538,9025163,13048781,15543204,17911961,18838341,18220943,23904513,28798758,35327743,38096059,45815638,55068495,58773176,63018464,62098113,64757610,66050331,63664871,71715758,69683461,72124454,69994249,74477581,76048494,73764715,76286471,73870441,76402537,76431302,69035260,
,Ireland,53.1424,-7.6921,0,1,23308,365860,730677,758939,797096,847681,958194,1495470,2035798,2451763,4945372,5864137,7065554,7281321,7927938,8023834,8804984,10121549,11122674,12868314,15185143,20236387,32589477,34961015,42425550,44894621,47748215,47316334,50403745,51196458,49804434,51721608,50292074,52217518,52601558,47657407,
,Israel,31.046051,34.851612,0,22,35287,367312,512036,602486,1460503,2916651,5221620,9176583,9755418,11475028,16729422,20255490,25324771,25095274,26012078,25200471,26435658,29676325,35847219,40680497,40127444,42041651,60428899,95301923,116439616,120564053,127400637,126663318,139234914,143064201,139435304,144872129,141035762,147096148,148075001,134194565,
,Italy,41.87194,12.56738,2,3915,1209772,4928524,6914863,7115232,7560745,7919622,8749361,13281216,35324374,58293082,72917277,76429829,101162913,114799462,128520540,127351195,132998927,137830596,138507478,146263219,146467420,166814321,268466519,339146254,422670796,468097894,528189339,534940169,618471976,667145094,664098287,715213771,716634216,768269938,785400848,714674367,
,Jamaica,18.1096,-77.2975,0,0,382,5011,16083,19058,24311,40928,130368,247729,297709,368482,439391,540682,982732,1293840,1465128,1482266,1586479,1832530,2317842,2695351,2707931,2854104,3433281,3552843,3981143,3877539,4124676,4219238,4483506,4593848,4530311,4709861,4569284,4732716,4744981,4309532,
,Japan,36.204824,138.252924,56,1717,29049,264160,496442,525362,769638,1701860,2296922,2855665,3648413,5876987,9914215,11643489,13993264,15837325,21045760,23315113,26124551,36898551,49375732,53213339,51748655,53607765,62524836,112188220,182266894,218468503,260353706,273050153,326231428,498643334,612219874,675775018,704040274,834410690,969616198,923708215,
,Jordan,31.24,36.51,0,0,2421,11816,18801,28514,36345,45488,140406,1138829,4471920,8196380,9694303,9868118,15461791,20243727,22456633,22334746,23568332,24313870,24319166,26094465,27042001,31631939,34650383,41245776,51768498,50843372,52584442,50933891,52824059,53475643,52264791,54156907,52409910,54156907,54156907,48915916,
,Kazakhstan,48.0196,66.9237,0,0,1937,46219,202761,476607,2056485,3642536,4099504,4489708,4848928,5844830,6716862,7028707,8618791,10069664,12801200,13849346,17031174,23663637,27686358,30799424,31192323,33014311,36211083,38493850,43179424,41825260,43236131,41855449,43705643,45443098,44454537,46012176,44561808,46129513,46254827,41920210,
,Kenya,-0.0236,37.9062,0,0,370,7263,29773,118824,386628,902573,1091882,1385303,2106033,2856847,3065046,2887159,3634398,4463081,5134850,5309765,5959523,6858310,7335731,7804270,7629795,8248547,9750522,9028188,10019802,9708149,10048644,9857504,10426111,10476961,10149684,10498581,10216772,10609177,10623506,9599944,
,Kiribati,-3.3704,-168.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60,62,62,60,62,60,62,1940,63897,93862,92181,95911,95886,102204,106330,102900,106330,102900,106330,140006,140291,
,"Korea, North",40.3399,127.5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,31,31,30,31,30,31,31,28,
,"Korea, South",35.907757,127.766922,36,11667,244918,315431,342959,365805,423421,505449,673170,780435,888618,1463251,2220738,2364057,3003141,3395144,4096985,4484907,5494721,7040660,8461948,10586338,12153895,17011156,22137334,48620794,254575149,478478731,551504524,547637056,585960164,672365152,726961446,780200660,791484895,872050674,923758365,850671235,
,Kosovo,42.602636,20.902977,0,0,844,12732,29343,51853,166431,349836,442311,524640,883320,1447730,1720254,1801727,2424115,2957297,3286644,3215824,3345871,3770770,4699481,4975007,4828539,4998578,5385316,6201808,7035806,6834367,7075169,6856542,7382867,8246805,8157727,8435679,8165776,8439216,8444878,7637781,
,Kuwait,29.31166,47.481766,0,171,4154,51368,445816,1106772,1776417,2362626,2885759,3569876,4082135,4554849,4881830,4988724,6584268,7607062,9056466,9975862,11816814,12582193,12328118,12780113,12390816,12842970,14561596,16753379,19402302,18917417,19599253,19134248,20120867,20337714,19738350,20478447,19872966,20545007,20546933,18564210,
,Kyrgyzstan,41.20438,74.766098,0,0,587,13260,36450,87845,597522,1276140,1354021,1605533,1994975,2411196,2571550,2393821,2701863,2744413,3111239,3384472,4519651,5315306,5321283,5574764,5472567,5706439,5909220,5597853,6223442,6029299,6230783,6030317,6250137,6350152,6177550,6394619,6194508,6403033,6404055,5785083,
,Laos,19.85627,102.495496,0,0,50,503,589,570,597,656,680,724,846,1259,1292,1258,1485,4930,47255,60701,110312,331422,559637,982733,1693579,2907843,3844859,3896817,4744363,5933054,6485367,6305012,6528375,6592549,6456057,6698776,6493047,6737919,6755310,6104050,
,Latvia,56.8796,24.6032,0,0,3277,20149,30402,32971,36487,40754,45572,106264,326976,875710,1678918,2151827,2937772,3303437,3941911,4081207,4281523,4353331,4478626,5739036,7202688,8213909,9786896,14875123,23165890,24356199,25601895,24942977,26256145,27398218,27389770,29229479,28744077,30060176,30220506,27319038,
,Lebanon,33.8547,35.8623,0,15,5177,18944,29199,44582,85807,302900,807478,1859410,3175672,4730285,7586618,9501209,13134891,15091550,16592936,16284890,17078600,18075800,18453859,19631449,19638154,21596029,25440274,28421970,33627309,32855732,34041205,33097052,35328850,37099536,36396035,37736736,36591575,37867032,37993612,34451471,
,Lesotho,-29.61,28.2336,0,0,0,0,29,272,8782,27809,39807,56894,61138,76083,194193,278256,327749,321443,334408,330065,379164,437008,431850,666706,651203,760943,972553,907721,1016104,988554,1030021,1012944,1054220,1059224,1031331,1069190,1034700,1069190,1077890,974120,
,Liberia,6.428055,-9.429499,0,0,56,1941,6757,14879,31614,38938,39659,42683,45038,53646,57833,55247,63054,62229,66118,82630,158894,170446,173421,179956,174541,183635,217137,205537,229185,222410,230850,224243,232702,236841,237849,247461,240200,249164,249432,225823,
,Libya,26.3351,17.228331,0,0,33,1180,2340,14275,57791,257246,739939,1475402,2198676,2861262,3375585,3560392,4553941,5099709,5631248,5691014,6737243,8785095,9807705,10831491,10961163,11795326,12444249,13177484,15496621,15054827,15560368,15062214,15581431,15688781,15207472,15717597,15212004,15720507,15721820,14200707,
,Liechtenstein,47.14,9.55,0,0,784,2419,2573,2485,2665,2983,3377,8047,30038,53413,75639,73120,83563,86406,95258,93548,97977,101819,105086,111531,121093,170897,227902,297385,449690,506148,537585,530137,567874,587132,581952,629214,623398,655412,661145,598629,
,Lithuania,55.1694,23.8813,0,0,1784,28282,45327,50852,57229,74566,107786,256290,1117708,3210118,5238106,5380403,6414133,6939837,8185456,8338794,8690692,9022409,9421501,11439217,13396872,15522707,18320190,24159372,32506338,34065398,35736876,34726388,36280461,37275320,36997676,39088474,38162454,39756494,40076334,36420851,
,Luxembourg,49.8153,6.1296,0,1,17209,99317,121711,122950,166386,225779,225144,351609,800948,1297802,1506358,1482434,1807017,1934308,2135012,2112721,2249994,2317984,2310622,2475951,2554104,2965040,3958420,4870139,6119755,6848408,7568791,7626320,8511087,8838248,8673947,9225816,9134080,9603064,9730379,8833517,
,MS Zaandam,0,0,0,0,8,270,279,270,279,279,270,279,270,279,279,252,279,270,279,270,279,279,270,279,270,279,279,252,279,270,279,270,279,279,270,279,270,279,279,252,
,Madagascar,-18.766947,46.869107,0,0,271,3143,10795,42217,192907,420613,473830,519886,517577,544372,564230,545744,671004,920949,1234386,1257988,1316791,1326646,1286768,1348560,1313510,1447410,1708273,1742230,1979813,1922943,1992151,1943516,2049383,2063847,1999598,2067522,2007278,2095473,2101256,1899704,
,Malawi,-13.2543,34.3015,0,0,0,528,2747,19374,82400,154885,170733,181240,179342,191330,415229,808919,1020068,1016210,1060848,1044880,1332324,1789312,1835665,1912943,1855421,2033747,2529137,2381038,2650996,2571538,2662344,2585551,2695469,2719053,2638715,2729747,2642356,2734016,2738798,2481155,
,Malaysia,4.210484,101.975766,39,231,27637,145040,214779,252725,271966,284350,302097,621112,1451172,2734703,4894111,7379863,10091945,11169973,14842763,20083427,28104044,44330803,60808599,73657794,76648435,83817240,87128455,86980566,120163478,130835358,138820813,136045426,143238371,146899220,144408336,150939668,148616031,155440446,156009707,141119575,
,Maldives,3.2028,73.2207,0,0,289,2519,32674,62485,90220,182727,278856,343649,369915,415623,451616,500324,679662,792272,1427554,2115375,2346890,2457769,2495393,2671076,2698123,2902606,3388510,4449649,5400669,5349539,5564781,5406509,5685705,5724439,5548892,5740215,5565147,5755183,5756799,5200250,
,Mali,17.570692,-3.996166,0,0,106,5898,26486,53905,75197,81775,88671,104007,120596,183402,239845,230661,282009,370821,438703,430658,449503,456116,451096,484350,502106,590016,843565,847700,943441,919194,960906,933986,967147,969230,968171,1013873,982452,1015710,1015983,920549,
,Malta,35.9375,14.3754,0,0,1707,11099,16920,19477,21346,41914,74643,137553,242409,352991,476588,559054,823697,893451,944429,917530,997617,1095777,1104365,1160270,1151917,1325636,1940896,1959598,2296850,2623784,2898300,2930657,3404791,3520823,3430970,3565861,3468567,3598535,3620356,3282113,
,Marshall Islands,7.1315,171.1845,0,0,0,0,0,0,0,0,0,8,76,124,124,112,124,120,124,120,124,124,120,124,120,124,202,196,217,339,527,538,1502,194125,455116,476121,463254,481915,482227,436570,
,Mauritania,21.0079,-10.9408,0,0,46,204,4057,67050,172865,208217,219109,235602,240629,357674,491063,475129,542837,543196,586230,605498,700939,935507,1052350,1136251,1148477,1241972,1631974,1639213,1818399,1760632,1825854,1779603,1909967,1943834,1883484,1956022,1902272,1966127,1969845,1782662,
,Mauritius,-20.348404,57.552152,0,0,699,8716,10308,10130,10621,10705,10886,12705,14332,16112,16991,16679,23284,35227,40320,50416,84746,205519,412484,535957,1273581,1984464,2386412,3789119,5780294,6508270,6941403,6833032,7301386,7784888,7797180,8169087,8059959,8849726,9082191,8261944,
,Mexico,23.6345,-102.5528,0,5,8124,229514,1560343,4692440,10107738,16108026,20309152,26077771,30342144,39586956,50652332,55678011,67295623,68840861,73811722,73938227,82258182,96508398,105987673,116125639,115423235,121716455,136340255,148162862,173819210,171512313,178271875,175898640,198645271,214528690,211888132,220142530,213563379,222642862,226643495,207560617,
